date,repository,path,count,uniques
2025-05-23,nasa/VITALS,/nasa/VITALS/tree/main,19,7
2025-05-23,nasa/VITALS,/nasa/VITALS/pull/36/commits,18,2
2025-05-23,nasa/VITALS,/nasa/VITALS/blob/main/setup/setup_instructions.md,15,9
2025-05-23,nasa/VITALS,/nasa/VITALS/pull/36,15,4
2025-05-23,nasa/VITALS,/nasa/VITALS/tree/webbook,14,2
2025-05-23,nasa/VITALS,/nasa/VITALS/blob/main/python/01_Finding_Concurrent_Data.ipynb,13,6
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources,145,72
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/Python/tutorials/AppEEARS_API_Area.ipynb,59,33
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/R/tutorials/AppEEARS_API_Area_R.Rmd,15,8
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/tree/main/Python,12,8
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/Python/tutorials/Point_Sample_AppEEARS_S3_Direct_Access.ipynb,12,4
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/tree/main/Python/tutorials,11,8
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/guides/How-to-bulk-download-AppEEARS-outputs.md,10,8
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/Python/tutorials/AppEEARS_API_Point.ipynb,9,7
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/guides/AppEEARS.md,9,6
2025-06-06,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/Python/tutorials/COG_AppEEARS_S3_Direct_Access.ipynb,9,5
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources,44,32
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/tutorials/ECOSTRESS_Tutorial.ipynb,38,21
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python/scripts/ecostress_swath2grid,20,10
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/tutorials/Work_with_ECOSTRESS_L2T_LSTE_data.ipynb,13,2
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main,10,6
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/guides/earthdata_search_ecostress.md,9,7
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python/tutorials,9,7
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/scripts/ecostress_swath2grid/ECOSTRESS_swath2grid.py,9,5
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/how-tos/how_to_direct_access_http_ecostress_cog.ipynb,8,8
2025-06-06,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python,8,7
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources,157,92
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/tutorials/Exploring_EMIT_L2A_Reflectance.ipynb,69,39
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/tree/main/python,64,34
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/tree/main,41,26
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/tree/main/python/tutorials,41,24
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/tutorials/Working_with_EMIT_L2B_Mineralogy.ipynb,40,26
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/guides/Getting_EMIT_Data_using_EarthData_Search.md,35,22
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/tutorials/Visualizing_Methane_Plume_Timeseries.ipynb,35,19
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/how-tos/How_to_Convert_to_ENVI.ipynb,31,22
2025-06-06,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/setup/setup_instructions.md,31,11
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources,98,64
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/python/tutorials/GEDI_L2A_V2_Tutorial.ipynb,73,38
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/python/tutorials/GEDI_L2B_V2_Tutorial.ipynb,40,20
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/tree/main,38,19
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/python/tutorials/GEDI_L1B_V2_Tutorial.ipynb,25,12
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/tree/main/python,24,15
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/tree/main/data,18,13
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/python/how-tos/how-to-find-and-access-GEDI-data_earthaccess.ipynb,18,11
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/r/GEDI_Finder_Tutorial_R.rmd,18,11
2025-06-06,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/tree/main/python/scripts/GEDI_Subsetter,18,10
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources,192,129
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/blob/main/python/tutorials/HLS_Tutorial.ipynb,144,84
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/tree/main/bash/hls-bulk-download,82,43
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/tree/main/python/scripts/HLS_SuPER,78,38
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/blob/main/python/tutorials/EVI_timeseries_with_odc_stac.ipynb,41,21
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/tree/main/python,35,23
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/tree/main/python/tutorials,26,20
2025-06-06,nasa/HLS-Data-Resources,/nasa/HLS-Data-Resources/tree/main,20,14
